PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56
PSTW-90,Norway AI for Diagnosing and treating Breast cancer,https://sciencenorway.no/breast-cancer-cancer-technology/norwegian-researchers-are-developing-a-new-method-for-detecting-breast-cancer/1739574,"In Norway research is ongoing to be able to diagnose and treat cancer more accurately based on massive and well-structured healthcare datasets Norway maintains. One hospital is working on specific kind of AI with much more precise treatments of cancer based on the datasets we have. The use of  AI since 2,5 years into the project is now already very accurate. ",National,Norway,NO,Cancer Registry of Norway,Central-Government,Health,Hospital services.,In development,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,Tallinn Digital Summit 2019 AI-empowered governments session,Learning,Machine learning,Optimisation,,,,Universities,,National-funded project,,,,,,,13/03/2025,
PSTW-169,Project ML-SAST - Machine Learning in the Context of Static Application Security Testing,https://www.evergabe-online.de/tenderdetails.html?1&id=343088,"The Federal Office for Information Security (BSI) intends to support and advance the development of ML-based SAST tools for automated and autonomous detection of new error patterns during the programming process. This should result in more secure programs, reduced workload and shorter development time. In the ML-SAST project, the use of machine learning (ML) methods in the context of static application security testing (SAST) will be evaluated. As research and experience prove, ML shows strength in the area of automated pattern recognition. As first step of the project the feasibility of ML-based SAST will be investigated. Therefore the current research literature on this topic will be reviewed. The goal is to identify the most suitable ML models. The results will be published in a study. Based on the findings of the study, an open source prototype of the ML-SAST method is developed.",National,Germany,DE,Federal Office for Information Security (BSI),Central-Government,General public services,General public services n.e.c.,Implemented,2020,,Enforcement,Predictive enforcement processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,x,x,,,Survey Use and impact of AI in the public sector. 2021 (https://ai-watch.ec.europa.eu/news/survey-artificial-intelligence-use-public-sector-2021-06-11_en),Learning,Machine learning,Automated reasoning,,,,Private corporation,,National-funded project,,,,,,,06/10/2025,
PSTW-187,Tool to optimise self-consumption in residential sectors,https://www.aiguasol.coop,"The project plans to develop a set of tools to facilitate this process, including one that will optimize the coefficients of hourly distribution of photovoltaic generation based (or any other renewable resource) on the electricity consumption profiles of each user. This process is currently very difficult to carry out with the available tools, since it requires knowledge and forecasting of the consumption habits of the users. The new tool will be able to make such predictions, which together with the prediction of photovoltaic production (or any other renewable resource), will allow the calculation of optimized self-consumption scenarios. Thanks to this technology, users will also be able to adapt their consumption habits to promote self-consumption and, in the future, even offer service to the grid to promote its stability. The tool is mainly composed of three modules: recruitment, planning and execution. Although AI will be used mainly in the third module, part of its results will also be used in phases one and two to help in system sizing and optimization, allowing the selection of the optimal number of PV panels. This will be done thanks to the automatic generation of statistical profiles according to the typologies of the users.",National,Spain,ES,Aiguasol,Private sector,Housing and community amenities,Housing and community amenities n.e.c.,Implemented,2020,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,,G2B,x,,,x,x,,,,,,,,,,,,,,Survey Use and impact of AI in the public sector. 2021 (https://ai-watch.ec.europa.eu/news/survey-artificial-intelligence-use-public-sector-2021-06-11_en),Reasoning,Automated reasoning,Optimisation,,,,Private corporation,,,,,,,,,19/03/2025,
PSTW-199,a-z.lu to digitise text documents for Luxembourg's National Library,https://bnl.public.lu/en/bnl/innovation-numerique.html,"The Bibliothéque Nationale du Luxembourg digitised textual documents by correcting OCR, extracting entities and organising image content.",National,Luxembourg,LU,Bibliothèque nationale de Luxembourg,Central-Government,General public services,General services.,Implemented,2020,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,Survey Use and impact of AI in the public sector. 2021 (https://ai-watch.ec.europa.eu/news/survey-artificial-intelligence-use-public-sector-2021-06-11_en),Perception,Computer vision,Natural language processing,,,,Other PAs,,National-funded project,,,,,,,20/10/2025,
PSTW-693,EBSILUX - Infrachain Project for digital academic diplomas in Luxembourg,https://infrachain.com/portfolio/ebsilux/,"The EBSILUX Project integrates Luxembourg into the European Blockchain Services Infrastructure (EBSI) and is implementing the Diplomas use case of EBSI. The use case provides digital academic certificate records in Luxembourg for the sake of transparency and trust between schools/universities, students and employers. It is a fully interoperable and cross-border solution. Infrachain is a non-profit organisation, launched in November 2016 in Luxembourg. The aim of the organisation is to support the creation of independent and incorruptible nodes involved in the operation of blockchain instances. Infrachain develops a governance layer placed on top of existing and future permissioned blockchains. The Infrachain governance framework gives attention to privacy protection, cyber-security, law enforcement and business continuity to the same degree as centralized systems. The framework postulates a separation of service and network layers and the establishment of a reference blockchain infrastructure, composed of independent nodes, hosting different public and private services.",National,Luxembourg,LU,Infrachain,Non-governmental,General public services,General services.,Implemented,2017,,Internal management,Internal management processes,Yes,No,Blockchain,,G2B,x,,,x,,,,,,,,,,,,,,,https://publications.jrc.ec.europa.eu/repository/handle/JRC115052,,,,,,,Private corporation,,,,,,,,,14/10/2024,
PSTW-706,FLORA – The federal asylum blockchain infrastructure,https://www.bamf.de/EN/Themen/Digitalisierung/FLORA/flora-node.html,"Together with the German Federal office for Migration and Refugees, the Fraunhofer FIT and technology partners aim to migrate the current German asylum process on a blockchain-based system. This would help the participating nations to reduce the duration and error-rate of the European asylum process. Blockchain allows for cross-organizational refugee management. We deploy the process logic of participating organizations on the blockchain to fasten up and raise the integrity of each asylum process in Europe. BLC thus affords the establishment of a federal, national-agnostic ecosystem for the EU.",National,Germany,DE,Federal office for Migration and Refugees,Central-Government,Social protection,Social protection n.e.c.,Implemented,2022,,Internal management,Internal management processes,Yes,No,Blockchain,,G2G,,,,,,,x,,X,X,X,X,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,14/10/2024,
PSTW-710,Customs 4.0: innovation in the Customs Management,https://www.logisticamanagement.it/it/articles/20180628/blockchain_alcuni_casi_duso_presentati_a_milano,"The Customs Agency is extensively investigating blockchain technology, as part of a process of improvement and continuous innovation that has seen the Customs switch to an "" eCustoms "" model (from paper to digital) and from this to an idea of Customs 4.0, powered by the most innovative technologies quai IoT, AI and blockchain. The concrete project presented concerns a drink of ancient tradition, the Genepì, a herbal liqueur typical of Piedmont: everything from its production to bottling is now replicated on blockchain (with a QR code as a vehicle for communication to the consumer ) while for the future the information chain is expected to be extended to the transport phase. The project was conducted in collaboration with the technological partner Sogei, with open source products and on Ethereum protocol.",National,Italy,IT,Agenzia delle dogane e dei Monopoli,Central-Government,Public order and safety,Police Services,Pilot,2018,2018,Public services and engagement,Tracking of goods and assets along the supply chain ,No,No,Blockchain,,G2B,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,Private corporation,,National-funded project,,,,,,,14/10/2024,
PSTW-783,Decentralised identity platform,https://alertify.eu/catalonia-to-issue-citizens-with-self-sovereign-digital-ids/,"The government of Catalonia is developing a decentralised identity platform aimed to give citizens control of their own data when interacting with online services.The IdentiCAT project qualifies and digitally empowers Catalan citizens so they may carry out activities with full assurance and security. The platform will be based on distributed ledger technology (DLT), with the Catalan government acting as the validator for the network. The government will not collect users' personal data as part of the scheme. IdentiCAT is developed to align with the 2014 EU's elDAS rules on electronic identification and trust services for electronic transactions. As such, IdentiCAT users will be able to access online services and carry out electronic transactions in any EU member state.",Regional,Spain,ES,Generalitat de Catalunya,Regional Government,General public services,General services.,Pilot,2019, ,Public services and engagement,Authentication of self-sovereign Digital ID services,No,No,Blockchain,,G2C,x,,X,X,X,,,,,,,,,,x,X,,,https://www.coindesk.com/markets/2019/09/09/catalonia-to-build-dlt-based-identity-platform-for-citizens/,,,,,,,,,,,,,,,,22/07/2025,
PSTW-784,Digitallisation of surety policies' management process,https://www.comune.bari.it/-/pa-digitale-il-comune-di-bari-avvia-con-sia-il-primo-progetto-blockchain-in-italia-per-certificare-l-autenticita-e-il-rilascio-di-polizze-fideiussorie,"The Municipality of Bari launched in collaboration with SIA, a leading European hi-tech company in the sector of payment services and infrastructures, a project based on blockchain technology that aims to digitize the management process of surety policies. This is the first experimentation in Italy of the Distributed Ledger Technology (DLT) use in the Public Administration in the field of sureties that will allow the Municipality of Bari to simplify the issuing process by banks, financial intermediaries, insurance companies and uniquely certify and irrevocable such guarantees.",Local,Italy,IT,Municipality of Bari ,Local Government,Economic affairs,Economic affairs n.e.c,Pilot,2019, ,Internal management,Internal management processes,No,No,Blockchain,,G2C,x,,X,X,,,,,,,,,,,,,,,https://www.comune.bari.it/-/pa-digitale-il-comune-di-bari-avvia-con-sia-il-primo-progetto-blockchain-in-italia-per-certificare-l-autenticita-e-il-rilascio-di-polizze-fideiussorie,,,,,,,,,,,,,,,,22/07/2025,
PSTW-813,Company Passport,https://www.companypassport.com/use-cases,"As of 1 August 2021, European citizens are supposed to be able to set up a company entirely digitally. With that in mind, the Royal Dutch Association of Civil-Law Notaries (KNB) asked the Dutch Blockchain Coalition to help think about the role of blockchain in the digital process for founding a company. Together with representatives of the KNB, the chambers of commerce, ABN AMRO, Pwc and the Tax and Customs Administration, the concept of an ‘enterprise passport’ has been worked out.",National,Netherlands,NL,Dutch Blockchain Coalition,Non-governmental,Economic affairs,R&D economic affairs,Implemented,2021,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,,G2B,x,,X,X,X,X,,,,,,,,,x,X,,,https://dutchblockchaincoalition.org/en/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,18/08/2025,
