PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56,Relevance Flag
PSTW-90,Norway AI for Diagnosing and treating Breast cancer,https://sciencenorway.no/breast-cancer-cancer-technology/norwegian-researchers-are-developing-a-new-method-for-detecting-breast-cancer/1739574,"In Norway research is ongoing to be able to diagnose and treat cancer more accurately based on massive and well-structured healthcare datasets Norway maintains. One hospital is working on specific kind of AI with much more precise treatments of cancer based on the datasets we have. The use of  AI since 2,5 years into the project is now already very accurate. ",National,Norway,NO,Cancer Registry of Norway,Central-Government,Health,Hospital services.,In development,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,Tallinn Digital Summit 2019 AI-empowered governments session,Learning,Machine learning,Optimisation,,,,Universities,,National-funded project,,,,,,,13/03/2025,,4
PSTW-169,Project ML-SAST - Machine Learning in the Context of Static Application Security Testing,https://www.evergabe-online.de/tenderdetails.html?1&id=343088,"The Federal Office for Information Security (BSI) intends to support and advance the development of ML-based SAST tools for automated and autonomous detection of new error patterns during the programming process. This should result in more secure programs, reduced workload and shorter development time. In the ML-SAST project, the use of machine learning (ML) methods in the context of static application security testing (SAST) will be evaluated. As research and experience prove, ML shows strength in the area of automated pattern recognition. As first step of the project the feasibility of ML-based SAST will be investigated. Therefore the current research literature on this topic will be reviewed. The goal is to identify the most suitable ML models. The results will be published in a study. Based on the findings of the study, an open source prototype of the ML-SAST method is developed.",National,Germany,DE,Federal Office for Information Security (BSI),Central-Government,General public services,General public services n.e.c.,Implemented,2020,,Enforcement,Predictive enforcement processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,x,x,,,Survey Use and impact of AI in the public sector. 2021 (https://ai-watch.ec.europa.eu/news/survey-artificial-intelligence-use-public-sector-2021-06-11_en),Learning,Machine learning,Automated reasoning,,,,Private corporation,,National-funded project,,,,,,,6/10/2025,,4
PSTW-199,a-z.lu to digitise text documents for Luxembourg's National Library,https://bnl.public.lu/en/bnl/innovation-numerique.html,"The Bibliothéque Nationale du Luxembourg digitised textual documents by correcting OCR, extracting entities and organising image content.",National,Luxembourg,LU,Bibliothèque nationale de Luxembourg,Central-Government,General public services,General services.,Implemented,2020,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,Survey Use and impact of AI in the public sector. 2021 (https://ai-watch.ec.europa.eu/news/survey-artificial-intelligence-use-public-sector-2021-06-11_en),Perception,Computer vision,Natural language processing,,,,Other PAs,,National-funded project,,,,,,,20/10/2025,,2
PSTW-1889,Artificial intelligence to support the visitation of rehabilitation courses (AIR Project),https://digit.au.dk/research-projects/air,"AI-Rehabilitering (AIR) is one of seven government-funded signature projects, that aims to test and evaluate artificial intelligence in a municipal setting. More concretely, the AIR project focuses on the use of artificial intelligence as a tool to support municipal case workers, when they evaluate citizens, that are planned to participate in a rehabilitation course. Artificial intelligence can improve the level of service in the public sector, but there is little experience with such technology in the sector. The Danish Government (Regeringen), KL (Kommunernes Landsforening) and Danish Regions (Danske Regioner) has agreed that Danish municipalities should test artificial intelligence solutions to better understand how these can be utilized to improve the quality and capacity in the public sector in the future. The goal of AIR is to develop a decision-support tool, that can provide case workers with an objective measurement of a citizen’s current eligibility for a certain rehabilitation course, their risk of failing during such a course and an estimate of how well the citizen is thought to do in the course. Current courses span 12 weeks and consist of physical exercises done several times a week by the citizen and evaluated at regular intermediate steps by the care assistant. Performance is measured in terms of improved self-sufficiency and reduced reliance on home help. AIR is anchored in the Municipality of Aalborg and will pave the way for a solution based on models and statistics, that can support the individual professional assessment done by the case worker when it comes to choosing the right course of action of rehabilitation, including specific initiatives, improved utilization of assistive aids and fall prevention.",Local,Denmark,DK,Aalborg Municipality and Rødovre Municipality,Local Government,Health,Hospital services.,Pilot,2022,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,,x,x,x,,,,,,,,,,,,,,https://digst.dk/digital-transformation/signaturprojekter/,Planning,Planning and Scheduling,Optimisation,,,,,,National-funded project,,,,,,,9/10/2024,,2
PSTW-1948,"Acquedotto 4.0, Hera invests in artificial intelligence",https://www.firstonline.info/en/acquedotto-4-0-hera-investe-sullintelligenza-artificiale/,"The pilot project Acquedotto 4.0 took place in 3 municipalities in the Emilia-Romagna region. Low-cost sensors were combined with machine learning to monitor the cities' water infrastructure for leaks. It turned out that the water flow has a particular sound, and these sensors can be trained to detect when and where a pipe is leaking. This spares the municipal government from having to tear up the streets and disrupt traffic every time there’s a problem",Local,Italy,IT,"Municipalities of Santarcangelo di Romagna, Riccione and Cattolica ",Local Government,Housing and community amenities,Water supply.,Pilot,2020,2021,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,,,x,,,,,,,,https://www.firstonline.info/en/acquedotto-4-0-hera-investe-sullintelligenza-artificiale/,Learning,Machine learning,Optimisation,,,,"Consortium (research institutions, private sector and other PAs)",,Funded with own resources,,,,,,,7/10/2024,,0
PSTW-2394,Assistente Virtuale Julia,https://julia.comune.roma.it/it/,"Julia is an advanced virtual assistant developed by the Municipality of Rome in collaboration with Microsoft and OpenAI, designed to enhance the experience of tourists and residents, especially during significant events like the 2025 Jubilee. Julia offers personalised services to meet diverse user needs. With an estimated 35 million visitors expected during the 2025 Jubilee, Julia serves as a crucial tool for managing tourism flow, reducing congestion at major sites, and promoting sustainable tourism by highlighting diverse locations. This initiative exemplifies Rome's commitment to leveraging artificial intelligence to improve urban services and enrich the experiences of both visitors and residents. It is available 24/7 and it understands more than 80 languages.",Local,Italy,ITI4,Municipality of Rome,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool ,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,National-funded project,No,Microsoft and OpenAI,,,,,9/10/2025,,0
PSTW-2417,AI assistant Hankintavälkky - Hilma Procurement Manual Assistant,http://annualreport2024.hansel.fi/renewing-procurement/digital-services-to-assist-customers-developed/,"Hansel, Finland’s central procurement unit, has developed and implemented an AI chatbot designed to simplify access to information on public procurement for both internal and external users. This initiative is part of Hansel’s broader strategy to leverage digital services and generative AI to enhance operational efficiency, transparency, and user experience in public sector procurement. Developed using a third-party AI solution developed by twoday hosted on Microsoft Azure, the assistant leverages OpenAI’s language models to generate answers based solely on the Procurement Manual. The aim was to create an AI assistant capable of answering user queries based on the manual’s content, thus making procurement information easier to search and use.",National,Finland,FI,Hansel,Central-Government,Economic affairs,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2B,x,x,x,x,x,x,,,,,,,,,,,,,https://www.ipa.government.bg/sites/default/files/report_generative_ai_in_public_administration_en.pdf,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,,No,twoday,,,,,11/6/2025,,0
PSTW-2419,NeuraBot - Chabot for German municipal citizen services,https://www.neuraflow.de/loesungen/neurabot,"​NeuraBot is an intelligent chatbot developed by Neuraflow GmbH to enhance municipal citizen services. It addresses routine inquiries, such as administrative procedures, event information, and general city-related questions, by understanding natural language inputs and providing precise answers from the city's knowledge base. Operating 24/7 in 95 languages, NeuraBot ensures citizens receive timely responses without waiting, thereby freeing municipal staff to focus on more complex tasks that require personal attention. ​",Local,Germany,DE1,"Stadt Bergisch Gladbach, Gemeinde Niederkruchten and others",Local Government,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://ecatalogue.firabarcelona.com/smartcityexpo2024/product/64883/detail?lang=en_GB,Learning,Machine learning,Generative AI,,,chatbot,GovTech,,,Yes,Neuraflow GmbH - GTS-1071,,,,,11/6/2025,,3
PSTW-2420,Neuropolis - Information System rethought in the City of Freiburg,https://www.neuraflow.de/loesungen/neurapolis,"In modern administrations, the volume of documents, minutes, and resolutions is constantly increasing. Locating the right information for well-informed decisions can be a time-consuming task, particularly when dealing with complex matters or events that occurred years ago. neurapolis offers a new approach to research. This intelligent search solution comprehends questions posed in natural language and scans thousands of documents within the council information system in a matter of seconds. It delivers source-supported answers directly to the user, presenting even complex issues in a clear and accessible manner. As a result, employees are able to dedicate their time to working with the information itself, rather than spending significant effort searching for it.",Local,Germany,DE131,City of Freiburg,Local Government,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.neuraflow.de/referenzen,Learning,Machine learning,Generative AI,,,natural language generation,GovTech,,,Yes,Neuraflow GmbH - GTS-1072,,,,,11/6/2025,,0
PSTW-2421,AI System for Autonomous Shuttle in the City of Tartu,https://prd-mediarepository.cwsfirabarcelona.com/ecatalogue/J078024/files/products/64568/Public%20articles%20about%20AI%20Add-On%20System%20for%20Autonomous%20Shuttle%20from%20Avanti%20R&D%20Inc.pdf,"Add-on AI System for Autonomous Shuttles enhances public transportation with advanced AI-driven safety, efficiency, and user experience improvements. It features sit/stand detection for passenger safety, demographic-targeted multilingual media, VRU collision avoidance using real-time roadside sensor data, origin-destination metrics for travel pattern analysis, and an onboard LLM for GDPR-compliant, localised passenger information. This comprehensive solution optimises shuttle operations, making smart city transit safer and more user-friendly. This was tested in the City of Tartu in the path between the Tartu City Museaum and the Estonian National Museum.",Local,Estonia,EE008,City of Tartu,Local Government,Economic affairs,Transport,Pilot,2024,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2C,x,,x,x,x,x,,,,,,,,,,,,,https://prd-mediarepository.cwsfirabarcelona.com/ecatalogue/J078024/files/products/64568/Public%20articles%20about%20AI%20Add-On%20System%20for%20Autonomous%20Shuttle%20from%20Avanti%20R&D%20Inc.pdf,Integration and Interaction,Connected and Automated vehicles,Computer vision,,,,GovTech,,,Yes,Avanti R&D Inc.,,,,,11/6/2025,,2
